scrubbedName	rawLocation	scrubbedLocation	latitude	longitude
Aaliyah Chapter #225	West 38th Street & Llewellyn Avenue	W 38th St, Norfolk, VA, USA	36.8798457	-76.2981701
Alpha Kappa Alpha Sorority, INC. Iota Omega Chapter	East Bute Street (No additional info)	E Bute St, Norfolk, VA, USA	36.852467	-76.284655
Alpha Kappa Psi (Hampton)	41st Street/ Killam/ Powhatan	W 41st St, Norfolk, VA 23508, USA	36.8819473	-76.3030279
Ambassadors	W. 36th St. from Llewellyn to Colonial	W 36th St, Norfolk, VA, USA	36.8788181	-76.290461
ASD RSO Norfolk	Ridgewell and Rippart Avenue	Ridgewell Ave, Norfolk, VA 23503, USA	36.9489049	-76.267392
ASTC	Hampton Boulevard between Helmick Street and Admiral Taussig Boulevard	Hampton Blvd, Norfolk, VA, USA	36.9039179	-76.3044994
Asenath #12	Norview  Ave from North Military Hwy to Azalea	Norview Ave, Norfolk, VA, USA	36.8928047	-76.2268578
Aunt Jean and Friends	Beach adoption from 13th to 20th streets	Norfolk, VA, USA	36.8507689	-76.2858726
AWSTS	Drop Off Center -Lowery St and Security Lane	Norfolk, VA, USA	36.8507689	-76.2858726
Azalea Acres/Lakes CL	Azalea Garden Rd from Military Hwy to Norview 	Azalea Garden Rd, Norfolk, VA, USA	36.887823	-76.221272
BAE Systems Norfolk Ship Repair (Not apprentice)	East Berkley Avenue between State Street and Whitehead Street	E Berkley Ave, Norfolk, VA 23523, USA	36.8322387	-76.2770736
Ballentine Civic League	Cape Henry Avenue (Along unused RR tracks)/Grandy Ave/ McKann	Cape Henry Ave, Norfolk, VA, USA	36.8721044	-76.2295282
Bank of America	Park Adoption- Commercial Park between Main and Plume 	Norfolk, VA, USA	36.8507689	-76.2858726
Beautiful Mindz Motorcycle Club	26th Street from Llewellyn to Bowden's Ferry Rd	W 26th St, Norfolk, VA, USA	36.8744195	-76.2952579
Blooming Light Lodge	Sewells Point Rd. from Avenue J to Middleton Pl	Sewells Point Rd, Norfolk, VA, USA	36.890238	-76.2385926
OPEN	Granby St. from Thole to Little Creek Rd, shipping center	Granby St, Norfolk, VA, USA	36.9017137	-76.2781593
